agent_id,date,total_tours,escorted_tours,virtual_tours,actual_travels_required,daily_travel_time,travel_segments,final_physical_location
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-05,6,5,1,3,17.108029371064788,"[{'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-05 16:00:00'), 'next_start': Timestamp('2025-05-05 16:00:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-05 17:00:00'), 'next_start': Timestamp('2025-05-05 16:00:00'), 'buffer_time': -60.0}, {'from_property': 64933, 'to_property': 64932, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-05 17:45:00'), 'next_start': Timestamp('2025-05-05 18:00:00'), 'buffer_time': 15.0}]",64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-06,3,2,1,0,0.0,[],100490.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-07,5,5,0,4,22.957382985677306,"[{'from_property': 64940, 'to_property': 64932, 'travel_time': 7.792444379186417, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-07 15:30:00'), 'next_start': Timestamp('2025-05-07 15:30:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64934, 'travel_time': 5.164938606490889, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-07 16:30:00'), 'next_start': Timestamp('2025-05-07 17:30:00'), 'buffer_time': 60.0}, {'from_property': 64934, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-07 18:30:00'), 'next_start': Timestamp('2025-05-07 18:45:00'), 'buffer_time': 15.0}, {'from_property': 64933, 'to_property': 64934, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-07 19:30:00'), 'next_start': Timestamp('2025-05-07 19:30:00'), 'buffer_time': 0.0}]",64934.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-08,2,2,0,0,0.0,[],64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-09,5,5,0,3,44.2933556643283,"[{'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-09 14:00:00'), 'next_start': Timestamp('2025-05-09 14:00:00'), 'buffer_time': 0.0}, {'from_property': 64938, 'to_property': 64933, 'travel_time': 14.764451888109434, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-09 15:00:00'), 'next_start': Timestamp('2025-05-09 16:00:00'), 'buffer_time': 60.0}, {'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-09 16:45:00'), 'next_start': Timestamp('2025-05-09 17:00:00'), 'buffer_time': 15.0}]",64938.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-10,5,5,0,2,30.323262133515076,"[{'from_property': 64938, 'to_property': 78139, 'travel_time': 15.161631066757538, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-10 16:15:00'), 'next_start': Timestamp('2025-05-10 16:30:00'), 'buffer_time': 15.0}, {'from_property': 78139, 'to_property': 64938, 'travel_time': 15.161631066757538, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-10 19:00:00'), 'next_start': Timestamp('2025-05-10 19:00:00'), 'buffer_time': 0.0}]",64938.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-12,7,7,0,1,15.460035594910849,"[{'from_property': 64938, 'to_property': 64932, 'travel_time': 15.460035594910849, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-12 16:00:00'), 'next_start': Timestamp('2025-05-12 17:00:00'), 'buffer_time': 60.0}]",64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-13,5,5,0,4,20.0,"[{'from_property': 64932, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-13 14:00:00'), 'next_start': Timestamp('2025-05-13 14:00:00'), 'buffer_time': 0.0}, {'from_property': 64933, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-13 15:00:00'), 'next_start': Timestamp('2025-05-13 14:00:00'), 'buffer_time': -60.0}, {'from_property': 100490, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-13 14:45:00'), 'next_start': Timestamp('2025-05-13 15:30:00'), 'buffer_time': 45.0}, {'from_property': 64935, 'to_property': 64943, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-13 16:30:00'), 'next_start': Timestamp('2025-05-13 18:30:00'), 'buffer_time': 120.0}]",64943.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-14,5,5,0,4,20.65538278169761,"[{'from_property': 100490, 'to_property': 64937, 'travel_time': 5.334875958546577, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-14 14:30:00'), 'next_start': Timestamp('2025-05-14 15:00:00'), 'buffer_time': 30.0}, {'from_property': 64937, 'to_property': 64934, 'travel_time': 5.3205068231510335, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-14 16:00:00'), 'next_start': Timestamp('2025-05-14 16:30:00'), 'buffer_time': 30.0}, {'from_property': 64934, 'to_property': 64943, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-14 17:30:00'), 'next_start': Timestamp('2025-05-14 18:00:00'), 'buffer_time': 30.0}, {'from_property': 64943, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-14 19:00:00'), 'next_start': Timestamp('2025-05-14 19:00:00'), 'buffer_time': 0.0}]",100490.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-15,3,3,0,1,5.5484525975755,"[{'from_property': 64937, 'to_property': 64943, 'travel_time': 5.5484525975755, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-15 17:00:00'), 'next_start': Timestamp('2025-05-15 17:00:00'), 'buffer_time': 0.0}]",64943.0
