date,current_travel_minutes,optimized_travel_minutes,travel_savings_minutes,travel_savings_percentage,current_trips,optimized_trips,trip_savings,trip_savings_percentage
2025-05-01,72.4558040935138,52.5346512646929,19.921152828820908,27.494212614230356,10,8,2,20.0
2025-05-02,83.0838652820086,130.14235551993755,-47.05849023792895,-56.63974597017122,13,16,-3,-23.076923076923077
2025-05-03,51.777268365073326,59.14222564634575,-7.364957281272424,-14.22430636808276,6,6,0,0.0
2025-05-04,0.0,0.0,0.0,0.0,0,0,0,0.0
2025-05-05,82.11182002344687,54.42287827610967,27.688941747337196,33.72101816697118,11,9,2,18.181818181818183
2025-05-06,61.71910965864705,74.29924913620842,-12.580139477561367,-20.38289202021703,7,9,-2,-28.57142857142857
2025-05-07,104.34800054059443,40.1259516443324,64.22204889626202,61.546027296687654,13,6,7,53.84615384615385
2025-05-08,75.24128675546129,27.349437951277093,47.89184880418419,63.65102308767736,10,4,6,60.0
2025-05-09,120.75802371671652,76.93978512017884,43.81823859653768,36.28598518582076,16,11,5,31.25
2025-05-10,104.0902555763208,115.40995588369046,-11.319700307369658,-10.874889531873476,15,14,1,6.666666666666667
2025-05-11,0.0,0.0,0.0,0.0,0,0,0,0.0
2025-05-12,104.25616565703899,67.21256682148048,37.04359883555851,35.53132671061116,14,9,5,35.714285714285715
2025-05-13,88.60349141328342,56.94538973696169,31.658101676321735,35.73008373750784,12,7,5,41.66666666666667
2025-05-14,155.79466618646677,90.32444570008627,65.4702204863805,42.02340304001218,20,15,5,25.0
2025-05-15,123.93186871669926,64.52520130837877,59.40666740832049,47.934940401907866,16,10,6,37.5
2025-05-16,70.42902490802528,49.903983206991164,20.52504170103412,29.14287359201436,9,6,3,33.33333333333333
2025-05-17,94.81379975561183,57.377226503437925,37.4365732521739,39.48430855916426,13,10,3,23.076923076923077
2025-05-18,0.0,0.0,0.0,0.0,0,0,0,0.0
2025-05-19,133.15696495275836,95.76461796785503,37.39234698490333,28.08140527847676,17,13,4,23.52941176470588
2025-05-20,87.04294265233727,73.61743559656992,13.425507055767355,15.424004114142681,13,11,2,15.384615384615385
2025-05-21,104.5402088181737,61.38167758430301,43.15853123387068,41.284144848931874,15,8,7,46.666666666666664
2025-05-22,74.20181381684797,59.16710236602975,15.034711450818222,20.261919052178882,11,9,2,18.181818181818183
2025-05-23,102.12182634755627,35.91011733774255,66.21170900981372,64.83600164422455,10,6,4,40.0
2025-05-24,62.691504212776955,82.50600786459566,-19.814503651818704,-31.606361819884953,10,9,1,10.0
2025-05-26,0.0,0.0,0.0,0.0,0,0,0,0.0
2025-05-27,107.34824714413602,102.90200991924985,4.4462372248861755,4.141881533394982,13,16,-3,-23.076923076923077
2025-05-28,36.81978263373418,48.05698641133889,-11.237203777604712,-30.519473429235344,5,5,0,0.0
2025-05-29,5.027774164760714,7.5067316529230705,-2.478957488162356,-49.305267240067785,1,1,0,0.0
2025-05-30,25.66975191709315,27.302293757425687,-1.6325418403325358,-6.359788149122888,5,4,1,20.0
2025-05-31,13.78789417259112,23.309356369323943,-9.521462196732823,-69.05668173505775,2,3,-1,-50.0
